AgeGroup,IncomeBracket,InitialProductInterest,ConversionProbability
Senior (50+),40K-80K,Investment,0.343
Young (<30),80K-120K,Chequing Account,0.855
Young (<30),40K-80K,Chequing Account,0.297
Mid-Age (30–50),<40K,Mortgage,0.476
Young (<30),80K-120K,Mortgage,1.0
Senior (50+),80K-120K,Investment,0.78
Senior (50+),40K-80K,Credit Card,0.535
Mid-Age (30–50),40K-80K,Credit Card,0.642
Senior (50+),40K-80K,Mortgage,0.575
Young (<30),80K-120K,Mortgage,0.549
Mid-Age (30–50),80K-120K,Chequing Account,0.646
Mid-Age (30–50),80K-120K,Chequing Account,0.968
Mid-Age (30–50),40K-80K,Credit Card,0.864
Young (<30),40K-80K,Mortgage,0.673
Mid-Age (30–50),80K-120K,Investment,1.0
Senior (50+),80K-120K,Credit Card,0.9
Senior (50+),80K-120K,Credit Card,0.565
Young (<30),80K-120K,Mortgage,0.872
Senior (50+),40K-80K,Chequing Account,0.858
Mid-Age (30–50),40K-80K,Investment,0.876
Senior (50+),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.833
Young (<30),40K-80K,Credit Card,0.565
Mid-Age (30–50),40K-80K,Mortgage,0.71
Mid-Age (30–50),40K-80K,Credit Card,0.762
Mid-Age (30–50),80K-120K,Chequing Account,0.783
Mid-Age (30–50),80K-120K,Mortgage,0.766
Senior (50+),80K-120K,Chequing Account,0.629
Young (<30),40K-80K,Chequing Account,0.647
Senior (50+),80K-120K,Chequing Account,0.802
Young (<30),80K-120K,Credit Card,0.689
Young (<30),120K–200K,Investment,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.811
Mid-Age (30–50),80K-120K,Mortgage,0.588
Mid-Age (30–50),80K-120K,Credit Card,0.854
Mid-Age (30–50),120K–200K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.539
Mid-Age (30–50),80K-120K,Chequing Account,0.76
Mid-Age (30–50),40K-80K,Chequing Account,0.425
Senior (50+),40K-80K,Credit Card,0.785
Mid-Age (30–50),40K-80K,Chequing Account,1.0
Senior (50+),40K-80K,Chequing Account,0.527
Mid-Age (30–50),80K-120K,Chequing Account,0.789
Senior (50+),80K-120K,Chequing Account,0.837
Senior (50+),80K-120K,Mortgage,0.964
Senior (50+),80K-120K,Credit Card,0.566
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),40K-80K,Mortgage,0.43
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Senior (50+),80K-120K,Credit Card,0.985
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Credit Card,0.71
Mid-Age (30–50),80K-120K,Investment,0.776
Senior (50+),80K-120K,Chequing Account,0.874
Young (<30),80K-120K,Credit Card,0.657
Senior (50+),40K-80K,Credit Card,0.848
Mid-Age (30–50),40K-80K,Investment,0.781
Young (<30),40K-80K,Chequing Account,0.85
Mid-Age (30–50),40K-80K,Credit Card,0.822
Mid-Age (30–50),120K–200K,Credit Card,0.869
Mid-Age (30–50),40K-80K,Credit Card,0.527
Young (<30),40K-80K,Mortgage,0.488
Mid-Age (30–50),80K-120K,Investment,1.0
Mid-Age (30–50),120K–200K,Credit Card,0.93
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.816
Mid-Age (30–50),40K-80K,Credit Card,0.707
Young (<30),80K-120K,Mortgage,0.987
Mid-Age (30–50),40K-80K,Mortgage,1.0
Mid-Age (30–50),<40K,Mortgage,0.825
Senior (50+),40K-80K,Mortgage,0.645
Mid-Age (30–50),80K-120K,Mortgage,1.0
Senior (50+),40K-80K,Investment,0.911
Young (<30),80K-120K,Chequing Account,0.709
Senior (50+),40K-80K,Credit Card,0.663
Senior (50+),40K-80K,Chequing Account,0.609
Senior (50+),80K-120K,Investment,0.731
Senior (50+),40K-80K,Investment,0.493
Senior (50+),80K-120K,Chequing Account,0.941
Mid-Age (30–50),<40K,Mortgage,0.716
Senior (50+),40K-80K,Investment,0.598
Senior (50+),80K-120K,Mortgage,0.759
Mid-Age (30–50),120K–200K,Mortgage,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.952
Mid-Age (30–50),40K-80K,Credit Card,0.865
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.906
Mid-Age (30–50),80K-120K,Investment,0.739
Mid-Age (30–50),80K-120K,Credit Card,0.947
Young (<30),120K–200K,Chequing Account,0.962
Mid-Age (30–50),80K-120K,Mortgage,0.799
Senior (50+),40K-80K,Chequing Account,0.659
Young (<30),80K-120K,Credit Card,0.665
Senior (50+),40K-80K,Mortgage,0.41
Mid-Age (30–50),40K-80K,Mortgage,0.763
Mid-Age (30–50),40K-80K,Mortgage,0.93
Mid-Age (30–50),40K-80K,Mortgage,0.976
Senior (50+),40K-80K,Mortgage,0.527
Mid-Age (30–50),<40K,Mortgage,0.565
Mid-Age (30–50),<40K,Mortgage,0.714
Mid-Age (30–50),80K-120K,Chequing Account,0.614
Mid-Age (30–50),40K-80K,Mortgage,0.557
Mid-Age (30–50),80K-120K,Chequing Account,0.91
Mid-Age (30–50),80K-120K,Credit Card,0.982
Young (<30),40K-80K,Investment,0.71
Senior (50+),40K-80K,Credit Card,0.532
Senior (50+),80K-120K,Chequing Account,0.941
Mid-Age (30–50),40K-80K,Mortgage,0.71
Young (<30),40K-80K,Chequing Account,0.798
Senior (50+),40K-80K,Chequing Account,0.839
Mid-Age (30–50),40K-80K,Chequing Account,0.715
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Credit Card,0.908
Mid-Age (30–50),80K-120K,Mortgage,0.689
Young (<30),80K-120K,Chequing Account,0.739
Young (<30),40K-80K,Credit Card,0.732
Senior (50+),80K-120K,Chequing Account,0.942
Senior (50+),<40K,Chequing Account,0.295
Mid-Age (30–50),40K-80K,Credit Card,0.797
Young (<30),40K-80K,Chequing Account,0.792
Senior (50+),80K-120K,Mortgage,0.948
Mid-Age (30–50),80K-120K,Chequing Account,0.69
Mid-Age (30–50),40K-80K,Credit Card,0.843
Senior (50+),80K-120K,Chequing Account,0.8
Senior (50+),40K-80K,Investment,0.532
Mid-Age (30–50),120K–200K,Mortgage,0.847
Mid-Age (30–50),80K-120K,Chequing Account,0.678
Senior (50+),80K-120K,Investment,0.797
Senior (50+),40K-80K,Chequing Account,0.848
Mid-Age (30–50),120K–200K,Mortgage,0.864
Mid-Age (30–50),40K-80K,Investment,0.507
Senior (50+),<40K,Investment,0.73
Senior (50+),40K-80K,Mortgage,0.829
Mid-Age (30–50),80K-120K,Investment,0.961
Senior (50+),40K-80K,Chequing Account,0.629
Senior (50+),40K-80K,Mortgage,0.542
Mid-Age (30–50),40K-80K,Mortgage,0.643
Mid-Age (30–50),40K-80K,Mortgage,0.71
Mid-Age (30–50),80K-120K,Chequing Account,0.931
Senior (50+),40K-80K,Investment,0.833
Senior (50+),40K-80K,Chequing Account,0.575
Mid-Age (30–50),40K-80K,Chequing Account,0.898
Senior (50+),40K-80K,Investment,0.628
Young (<30),80K-120K,Mortgage,0.763
Senior (50+),80K-120K,Mortgage,0.723
Mid-Age (30–50),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Chequing Account,0.719
Mid-Age (30–50),40K-80K,Mortgage,0.48
Senior (50+),40K-80K,Chequing Account,0.585
Mid-Age (30–50),40K-80K,Credit Card,0.455
Senior (50+),40K-80K,Chequing Account,0.481
Young (<30),80K-120K,Mortgage,0.647
Young (<30),80K-120K,Chequing Account,0.653
Mid-Age (30–50),40K-80K,Credit Card,0.499
Senior (50+),40K-80K,Investment,0.546
Senior (50+),40K-80K,Mortgage,0.702
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Mid-Age (30–50),<40K,Investment,0.297
Mid-Age (30–50),80K-120K,Credit Card,0.849
Mid-Age (30–50),80K-120K,Mortgage,0.873
Mid-Age (30–50),<40K,Chequing Account,0.665
Mid-Age (30–50),40K-80K,Chequing Account,0.635
Mid-Age (30–50),40K-80K,Chequing Account,0.81
Young (<30),80K-120K,Chequing Account,0.94
Senior (50+),40K-80K,Mortgage,0.66
Mid-Age (30–50),40K-80K,Chequing Account,0.684
Senior (50+),40K-80K,Investment,0.62
Mid-Age (30–50),80K-120K,Investment,0.988
Young (<30),<40K,Investment,0.769
Young (<30),40K-80K,Chequing Account,0.804
Senior (50+),40K-80K,Credit Card,0.473
Mid-Age (30–50),40K-80K,Credit Card,0.773
Mid-Age (30–50),40K-80K,Credit Card,0.425
Mid-Age (30–50),40K-80K,Mortgage,0.702
Mid-Age (30–50),40K-80K,Credit Card,0.832
Mid-Age (30–50),40K-80K,Investment,0.442
Young (<30),40K-80K,Chequing Account,0.646
Senior (50+),80K-120K,Credit Card,0.74
Mid-Age (30–50),40K-80K,Chequing Account,0.561
Young (<30),40K-80K,Credit Card,0.724
Young (<30),40K-80K,Credit Card,0.711
Young (<30),40K-80K,Mortgage,0.764
Mid-Age (30–50),40K-80K,Credit Card,0.627
Young (<30),40K-80K,Credit Card,0.69
Mid-Age (30–50),40K-80K,Credit Card,0.422
Mid-Age (30–50),40K-80K,Chequing Account,0.54
Mid-Age (30–50),40K-80K,Mortgage,0.536
Mid-Age (30–50),40K-80K,Credit Card,0.495
Mid-Age (30–50),40K-80K,Credit Card,0.59
Young (<30),40K-80K,Investment,0.611
Mid-Age (30–50),80K-120K,Investment,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.849
Senior (50+),<40K,Credit Card,0.379
Senior (50+),40K-80K,Credit Card,0.496
Senior (50+),40K-80K,Chequing Account,0.598
Young (<30),40K-80K,Investment,0.588
Mid-Age (30–50),80K-120K,Chequing Account,0.623
Mid-Age (30–50),<40K,Mortgage,0.595
Senior (50+),40K-80K,Investment,0.458
Young (<30),80K-120K,Chequing Account,0.887
Mid-Age (30–50),80K-120K,Mortgage,0.974
Senior (50+),40K-80K,Credit Card,0.678
Mid-Age (30–50),40K-80K,Mortgage,0.778
Young (<30),80K-120K,Credit Card,0.967
Young (<30),40K-80K,Mortgage,0.735
Senior (50+),40K-80K,Mortgage,0.863
Mid-Age (30–50),40K-80K,Chequing Account,0.886
Senior (50+),40K-80K,Credit Card,0.764
Senior (50+),40K-80K,Chequing Account,0.74
Mid-Age (30–50),40K-80K,Chequing Account,0.549
Mid-Age (30–50),80K-120K,Investment,0.769
Mid-Age (30–50),40K-80K,Chequing Account,0.51
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Investment,0.605
Young (<30),80K-120K,Investment,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.984
Senior (50+),40K-80K,Mortgage,0.565
Mid-Age (30–50),<40K,Chequing Account,0.658
Mid-Age (30–50),40K-80K,Credit Card,0.873
Mid-Age (30–50),40K-80K,Mortgage,0.666
Senior (50+),40K-80K,Credit Card,0.558
Mid-Age (30–50),40K-80K,Credit Card,0.757
Mid-Age (30–50),<40K,Mortgage,0.741
Senior (50+),40K-80K,Chequing Account,0.529
Senior (50+),40K-80K,Chequing Account,0.691
Young (<30),40K-80K,Chequing Account,0.29
Young (<30),40K-80K,Mortgage,0.433
Young (<30),40K-80K,Chequing Account,0.681
Mid-Age (30–50),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Chequing Account,0.668
Young (<30),40K-80K,Credit Card,0.658
Mid-Age (30–50),40K-80K,Mortgage,0.829
Young (<30),80K-120K,Credit Card,0.739
Senior (50+),40K-80K,Chequing Account,0.617
Mid-Age (30–50),120K–200K,Credit Card,0.828
Mid-Age (30–50),80K-120K,Chequing Account,0.888
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.747
Young (<30),40K-80K,Credit Card,0.482
Young (<30),40K-80K,Chequing Account,0.761
Young (<30),40K-80K,Chequing Account,0.793
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Investment,0.856
Senior (50+),80K-120K,Mortgage,0.962
Young (<30),40K-80K,Chequing Account,0.671
Senior (50+),80K-120K,Chequing Account,0.686
Senior (50+),80K-120K,Mortgage,1.0
Young (<30),40K-80K,Investment,0.593
Young (<30),40K-80K,Mortgage,0.805
Senior (50+),<40K,Chequing Account,0.398
Young (<30),80K-120K,Mortgage,0.935
Senior (50+),40K-80K,Chequing Account,0.865
Young (<30),40K-80K,Credit Card,0.419
Mid-Age (30–50),40K-80K,Mortgage,0.954
Mid-Age (30–50),40K-80K,Mortgage,0.726
Mid-Age (30–50),40K-80K,Mortgage,0.776
Senior (50+),40K-80K,Credit Card,0.567
Mid-Age (30–50),40K-80K,Credit Card,0.713
Mid-Age (30–50),80K-120K,Mortgage,0.884
Mid-Age (30–50),40K-80K,Credit Card,0.555
Mid-Age (30–50),40K-80K,Mortgage,0.641
Mid-Age (30–50),80K-120K,Mortgage,0.703
Senior (50+),80K-120K,Credit Card,0.832
Mid-Age (30–50),40K-80K,Mortgage,0.562
Senior (50+),80K-120K,Mortgage,0.784
Mid-Age (30–50),40K-80K,Chequing Account,0.468
Young (<30),40K-80K,Credit Card,0.871
Senior (50+),80K-120K,Chequing Account,0.814
Mid-Age (30–50),80K-120K,Mortgage,0.743
Mid-Age (30–50),40K-80K,Credit Card,0.947
Senior (50+),80K-120K,Chequing Account,0.634
Senior (50+),40K-80K,Investment,0.839
Senior (50+),80K-120K,Credit Card,0.921
Mid-Age (30–50),<40K,Mortgage,0.635
Senior (50+),80K-120K,Mortgage,0.989
Mid-Age (30–50),40K-80K,Credit Card,0.578
Young (<30),40K-80K,Chequing Account,0.331
Senior (50+),40K-80K,Chequing Account,0.851
Senior (50+),<40K,Mortgage,0.381
Mid-Age (30–50),80K-120K,Chequing Account,0.871
Young (<30),40K-80K,Mortgage,0.55
Senior (50+),80K-120K,Chequing Account,0.936
Senior (50+),40K-80K,Credit Card,0.855
Senior (50+),40K-80K,Mortgage,0.254
Mid-Age (30–50),40K-80K,Investment,0.645
Mid-Age (30–50),<40K,Chequing Account,0.707
Senior (50+),80K-120K,Credit Card,0.753
Young (<30),40K-80K,Credit Card,0.632
Mid-Age (30–50),<40K,Chequing Account,0.746
Mid-Age (30–50),40K-80K,Mortgage,0.579
Mid-Age (30–50),120K–200K,Credit Card,1.0
Senior (50+),40K-80K,Credit Card,0.513
Mid-Age (30–50),80K-120K,Investment,0.584
Mid-Age (30–50),40K-80K,Credit Card,0.313
Senior (50+),40K-80K,Credit Card,0.907
Mid-Age (30–50),<40K,Investment,0.612
Young (<30),<40K,Mortgage,0.673
Young (<30),80K-120K,Credit Card,0.983
Young (<30),40K-80K,Credit Card,0.81
Mid-Age (30–50),80K-120K,Chequing Account,0.703
Senior (50+),120K–200K,Credit Card,0.949
Young (<30),40K-80K,Chequing Account,0.76
Senior (50+),80K-120K,Credit Card,0.673
Mid-Age (30–50),40K-80K,Credit Card,0.702
Senior (50+),40K-80K,Mortgage,0.711
Mid-Age (30–50),80K-120K,Investment,0.962
Senior (50+),40K-80K,Chequing Account,0.697
Senior (50+),40K-80K,Investment,0.649
Mid-Age (30–50),40K-80K,Chequing Account,0.624
Young (<30),40K-80K,Chequing Account,0.807
Mid-Age (30–50),40K-80K,Chequing Account,0.473
Senior (50+),80K-120K,Mortgage,0.722
Mid-Age (30–50),40K-80K,Credit Card,0.718
Mid-Age (30–50),40K-80K,Chequing Account,0.913
Young (<30),80K-120K,Investment,0.743
Senior (50+),80K-120K,Chequing Account,0.793
Young (<30),<40K,Chequing Account,0.243
Senior (50+),80K-120K,Investment,0.868
Senior (50+),40K-80K,Credit Card,0.428
Young (<30),120K–200K,Mortgage,1.0
Senior (50+),80K-120K,Credit Card,0.749
Senior (50+),80K-120K,Investment,0.983
Mid-Age (30–50),40K-80K,Investment,0.523
Young (<30),40K-80K,Chequing Account,0.521
Mid-Age (30–50),80K-120K,Chequing Account,0.815
Young (<30),40K-80K,Credit Card,0.899
Senior (50+),80K-120K,Mortgage,0.728
Mid-Age (30–50),40K-80K,Credit Card,0.876
Mid-Age (30–50),40K-80K,Chequing Account,0.456
Young (<30),<40K,Mortgage,0.557
Senior (50+),<40K,Chequing Account,0.405
Young (<30),80K-120K,Credit Card,0.721
Young (<30),<40K,Credit Card,0.447
Mid-Age (30–50),80K-120K,Credit Card,0.709
Mid-Age (30–50),40K-80K,Chequing Account,0.775
Young (<30),40K-80K,Chequing Account,0.518
Senior (50+),40K-80K,Mortgage,0.611
Mid-Age (30–50),80K-120K,Chequing Account,1.0
Senior (50+),80K-120K,Chequing Account,1.0
Mid-Age (30–50),<40K,Credit Card,0.377
Mid-Age (30–50),80K-120K,Chequing Account,0.735
Mid-Age (30–50),80K-120K,Investment,0.636
Senior (50+),40K-80K,Mortgage,0.617
Mid-Age (30–50),40K-80K,Mortgage,0.943
Senior (50+),80K-120K,Investment,0.749
Senior (50+),80K-120K,Chequing Account,0.845
Senior (50+),40K-80K,Credit Card,0.958
Mid-Age (30–50),<40K,Mortgage,0.715
Mid-Age (30–50),40K-80K,Mortgage,0.768
Mid-Age (30–50),40K-80K,Investment,0.589
Young (<30),40K-80K,Mortgage,0.785
Young (<30),40K-80K,Investment,0.607
Young (<30),40K-80K,Investment,0.795
Young (<30),40K-80K,Mortgage,0.598
Senior (50+),80K-120K,Mortgage,0.886
Senior (50+),40K-80K,Investment,0.618
Young (<30),80K-120K,Mortgage,0.939
Young (<30),40K-80K,Mortgage,0.495
Young (<30),80K-120K,Chequing Account,0.951
Senior (50+),40K-80K,Investment,0.395
Mid-Age (30–50),40K-80K,Credit Card,1.0
Young (<30),80K-120K,Investment,0.901
Mid-Age (30–50),40K-80K,Mortgage,0.497
Mid-Age (30–50),40K-80K,Mortgage,0.464
Mid-Age (30–50),80K-120K,Mortgage,0.778
Mid-Age (30–50),40K-80K,Investment,0.591
Mid-Age (30–50),40K-80K,Chequing Account,0.392
Senior (50+),40K-80K,Credit Card,0.764
Senior (50+),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.694
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Mortgage,0.714
Mid-Age (30–50),80K-120K,Chequing Account,0.959
Mid-Age (30–50),80K-120K,Investment,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.873
Senior (50+),80K-120K,Chequing Account,0.892
Senior (50+),40K-80K,Credit Card,0.937
Mid-Age (30–50),<40K,Chequing Account,0.891
Mid-Age (30–50),40K-80K,Chequing Account,0.671
Young (<30),40K-80K,Investment,0.918
Senior (50+),80K-120K,Credit Card,0.617
Senior (50+),80K-120K,Chequing Account,0.68
Young (<30),80K-120K,Mortgage,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.689
Young (<30),40K-80K,Credit Card,0.923
Young (<30),80K-120K,Investment,1.0
Mid-Age (30–50),120K–200K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Investment,0.971
Mid-Age (30–50),40K-80K,Credit Card,0.726
Mid-Age (30–50),40K-80K,Chequing Account,0.85
Mid-Age (30–50),<40K,Credit Card,0.425
Mid-Age (30–50),40K-80K,Mortgage,0.606
Young (<30),<40K,Chequing Account,0.416
Mid-Age (30–50),80K-120K,Credit Card,0.595
Mid-Age (30–50),40K-80K,Investment,0.569
Senior (50+),40K-80K,Mortgage,0.59
Mid-Age (30–50),40K-80K,Investment,0.476
Young (<30),40K-80K,Investment,0.584
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.735
Senior (50+),40K-80K,Chequing Account,0.683
Senior (50+),<40K,Mortgage,0.322
Senior (50+),40K-80K,Chequing Account,0.618
Senior (50+),80K-120K,Chequing Account,0.859
Young (<30),40K-80K,Mortgage,0.627
Senior (50+),80K-120K,Chequing Account,0.926
Mid-Age (30–50),40K-80K,Investment,0.793
Mid-Age (30–50),80K-120K,Chequing Account,0.705
Mid-Age (30–50),80K-120K,Mortgage,0.892
Mid-Age (30–50),40K-80K,Investment,0.889
Senior (50+),40K-80K,Mortgage,0.802
Mid-Age (30–50),<40K,Credit Card,0.6
Mid-Age (30–50),<40K,Investment,0.394
Senior (50+),40K-80K,Investment,0.307
Mid-Age (30–50),80K-120K,Credit Card,0.976
Senior (50+),80K-120K,Investment,0.869
Young (<30),40K-80K,Credit Card,0.893
Senior (50+),80K-120K,Investment,0.747
Mid-Age (30–50),80K-120K,Mortgage,0.778
Mid-Age (30–50),80K-120K,Credit Card,0.689
Young (<30),80K-120K,Mortgage,0.718
Mid-Age (30–50),40K-80K,Credit Card,0.644
Mid-Age (30–50),40K-80K,Mortgage,0.684
Senior (50+),40K-80K,Investment,0.39
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Chequing Account,0.834
Mid-Age (30–50),80K-120K,Credit Card,0.922
Mid-Age (30–50),<40K,Credit Card,0.535
Mid-Age (30–50),40K-80K,Investment,0.773
Senior (50+),40K-80K,Mortgage,0.591
Young (<30),40K-80K,Chequing Account,0.674
Senior (50+),80K-120K,Chequing Account,0.876
Young (<30),80K-120K,Chequing Account,0.759
Senior (50+),40K-80K,Credit Card,0.666
Mid-Age (30–50),80K-120K,Mortgage,0.851
Mid-Age (30–50),40K-80K,Mortgage,0.637
Young (<30),40K-80K,Credit Card,0.651
Senior (50+),80K-120K,Investment,1.0
Senior (50+),40K-80K,Credit Card,0.763
Senior (50+),40K-80K,Credit Card,0.638
Mid-Age (30–50),40K-80K,Chequing Account,0.369
Senior (50+),<40K,Investment,0.414
Senior (50+),40K-80K,Mortgage,0.642
Mid-Age (30–50),40K-80K,Chequing Account,0.718
Young (<30),80K-120K,Credit Card,0.809
Mid-Age (30–50),80K-120K,Mortgage,0.669
Young (<30),40K-80K,Investment,0.52
Mid-Age (30–50),40K-80K,Chequing Account,0.622
Young (<30),80K-120K,Investment,0.845
Senior (50+),80K-120K,Mortgage,0.6
Senior (50+),40K-80K,Credit Card,0.572
Senior (50+),40K-80K,Credit Card,0.65
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Chequing Account,0.937
Senior (50+),40K-80K,Credit Card,0.606
Mid-Age (30–50),80K-120K,Mortgage,0.783
Senior (50+),80K-120K,Chequing Account,0.671
Senior (50+),80K-120K,Credit Card,0.682
Mid-Age (30–50),80K-120K,Credit Card,0.945
Young (<30),40K-80K,Mortgage,0.857
Mid-Age (30–50),80K-120K,Credit Card,0.783
Young (<30),40K-80K,Chequing Account,0.979
Senior (50+),40K-80K,Credit Card,0.761
Senior (50+),40K-80K,Investment,0.633
Mid-Age (30–50),40K-80K,Chequing Account,0.626
Senior (50+),80K-120K,Credit Card,0.958
Young (<30),80K-120K,Chequing Account,0.793
Senior (50+),80K-120K,Chequing Account,0.86
Senior (50+),120K–200K,Chequing Account,0.726
Young (<30),40K-80K,Mortgage,0.701
Mid-Age (30–50),80K-120K,Chequing Account,0.817
Mid-Age (30–50),40K-80K,Mortgage,0.546
Young (<30),40K-80K,Credit Card,0.463
Mid-Age (30–50),40K-80K,Chequing Account,0.635
Mid-Age (30–50),<40K,Mortgage,0.426
Mid-Age (30–50),40K-80K,Credit Card,0.83
Senior (50+),40K-80K,Credit Card,0.71
Mid-Age (30–50),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.992
Young (<30),40K-80K,Chequing Account,1.0
Mid-Age (30–50),40K-80K,Mortgage,1.0
Senior (50+),80K-120K,Credit Card,0.87
Senior (50+),40K-80K,Credit Card,0.87
Senior (50+),40K-80K,Credit Card,0.721
Mid-Age (30–50),40K-80K,Chequing Account,0.79
Young (<30),40K-80K,Chequing Account,0.547
Young (<30),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Chequing Account,0.501
Senior (50+),<40K,Mortgage,0.352
Senior (50+),<40K,Credit Card,0.622
Senior (50+),40K-80K,Credit Card,0.946
Young (<30),80K-120K,Credit Card,0.795
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),80K-120K,Credit Card,0.828
Mid-Age (30–50),40K-80K,Credit Card,0.493
Mid-Age (30–50),40K-80K,Credit Card,0.514
Senior (50+),80K-120K,Credit Card,1.0
Mid-Age (30–50),40K-80K,Credit Card,0.898
Young (<30),40K-80K,Credit Card,0.336
Senior (50+),40K-80K,Chequing Account,0.736
Mid-Age (30–50),80K-120K,Mortgage,0.765
Mid-Age (30–50),40K-80K,Investment,0.659
Senior (50+),40K-80K,Credit Card,0.516
Mid-Age (30–50),80K-120K,Mortgage,0.521
Young (<30),80K-120K,Credit Card,0.754
Mid-Age (30–50),<40K,Credit Card,0.604
Young (<30),80K-120K,Credit Card,0.911
Mid-Age (30–50),40K-80K,Mortgage,0.801
Senior (50+),80K-120K,Credit Card,1.0
Senior (50+),40K-80K,Chequing Account,0.753
Mid-Age (30–50),80K-120K,Credit Card,0.747
Mid-Age (30–50),80K-120K,Investment,1.0
Young (<30),80K-120K,Mortgage,0.66
Senior (50+),40K-80K,Mortgage,0.538
Mid-Age (30–50),40K-80K,Mortgage,0.492
Mid-Age (30–50),80K-120K,Mortgage,0.674
Senior (50+),40K-80K,Mortgage,0.883
Mid-Age (30–50),80K-120K,Chequing Account,0.804
Senior (50+),80K-120K,Credit Card,0.76
Young (<30),80K-120K,Mortgage,0.894
Senior (50+),40K-80K,Investment,0.596
Senior (50+),80K-120K,Chequing Account,0.768
Senior (50+),80K-120K,Credit Card,0.835
Senior (50+),40K-80K,Chequing Account,0.471
Mid-Age (30–50),40K-80K,Chequing Account,0.58
Senior (50+),80K-120K,Investment,0.804
Mid-Age (30–50),40K-80K,Chequing Account,0.589
Mid-Age (30–50),<40K,Credit Card,0.525
Mid-Age (30–50),<40K,Chequing Account,0.346
Mid-Age (30–50),40K-80K,Chequing Account,0.391
Young (<30),40K-80K,Mortgage,0.859
Mid-Age (30–50),80K-120K,Credit Card,0.92
Young (<30),40K-80K,Credit Card,0.979
Senior (50+),80K-120K,Mortgage,0.783
Senior (50+),40K-80K,Chequing Account,0.824
Senior (50+),40K-80K,Credit Card,0.626
Mid-Age (30–50),40K-80K,Investment,0.486
Senior (50+),40K-80K,Chequing Account,0.78
Mid-Age (30–50),40K-80K,Mortgage,0.455
Senior (50+),80K-120K,Investment,0.619
Mid-Age (30–50),40K-80K,Investment,0.506
Mid-Age (30–50),40K-80K,Chequing Account,0.761
Senior (50+),40K-80K,Investment,0.538
Young (<30),80K-120K,Credit Card,0.798
Senior (50+),40K-80K,Chequing Account,0.633
Mid-Age (30–50),80K-120K,Mortgage,0.725
Senior (50+),40K-80K,Mortgage,0.647
Senior (50+),80K-120K,Credit Card,0.86
Mid-Age (30–50),80K-120K,Credit Card,0.965
Senior (50+),40K-80K,Credit Card,0.559
Senior (50+),<40K,Credit Card,0.675
Mid-Age (30–50),40K-80K,Credit Card,0.623
Senior (50+),40K-80K,Credit Card,0.767
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Mortgage,0.638
Mid-Age (30–50),120K–200K,Investment,0.967
Senior (50+),<40K,Mortgage,0.643
Young (<30),40K-80K,Investment,0.909
Senior (50+),80K-120K,Credit Card,0.841
Mid-Age (30–50),40K-80K,Chequing Account,0.411
Young (<30),40K-80K,Chequing Account,0.642
Senior (50+),80K-120K,Chequing Account,1.0
Young (<30),<40K,Chequing Account,0.878
Mid-Age (30–50),80K-120K,Chequing Account,0.91
Senior (50+),80K-120K,Mortgage,0.786
Young (<30),<40K,Investment,0.627
Young (<30),40K-80K,Mortgage,0.503
Young (<30),80K-120K,Credit Card,1.0
Young (<30),80K-120K,Chequing Account,1.0
Mid-Age (30–50),80K-120K,Credit Card,0.67
Mid-Age (30–50),80K-120K,Credit Card,0.684
Senior (50+),40K-80K,Chequing Account,0.74
